#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1959.60    0.087126    0.011364    0.497067    0.010829  -0.7684923   0.0013678    0.070953    0.000000    0.001071    0.000000
   1959.65    0.147624    0.010864    0.488668    0.010479  -0.7779690   0.0012646    0.069103    0.000000    0.000690    0.000000
   1959.70    0.201403    0.012344    0.464914    0.010475  -0.7986193   0.0013402    0.068768    0.000000    0.000804    0.000000
   1959.75    0.236367    0.011432    0.401112    0.009998  -0.8251986   0.0012599    0.069697    0.000000    0.001498    0.000000
   1959.80    0.247514    0.010697    0.338401    0.009709  -0.8529768   0.0010978    0.070950    0.000000    0.001988    0.000000
   1959.85    0.236659    0.012309    0.285172    0.010444  -0.8880075   0.0012259    0.072717    0.000000    0.002626    0.000000
   1959.90    0.228163    0.010477    0.213198    0.009492  -0.9165241   0.0012153    0.074748    0.000000    0.003859    0.000000
   1959.95    0.175474    0.013027    0.178624    0.011810  -0.9438248   0.0014822    0.075155    0.000000    0.004383    0.000000
   1960.00    0.121570    0.015915    0.124058    0.012733  -0.9717382   0.0014449    0.075392    0.000000    0.004839    0.000000
   1960.05    0.086664    0.013296    0.124986    0.011540  -1.0002989   0.0013935    0.076314    0.000000    0.004667    0.000000
   1960.10    0.014670    0.012656    0.090200    0.011217  -1.0205768   0.0013423    0.074682    0.000000    0.004018    0.000000
   1960.15    0.001540    0.012953    0.098159    0.010713  -1.0432427   0.0013602    0.074932    0.000000    0.003332    0.000000
   1960.20   -0.046123    0.012346    0.117925    0.010460  -1.0781084   0.0012145    0.076397    0.000000    0.002364    0.000000
   1960.25   -0.065175    0.011170    0.118726    0.010089  -1.1070793   0.0012326    0.076076    0.000000    0.001125    0.000000
   1960.30   -0.125962    0.010655    0.160352    0.009890  -1.1297084   0.0011573    0.076560    0.000000    0.000626    0.000000
   1960.35   -0.116199    0.011765    0.214416    0.010711  -1.1650109   0.0012678    0.076924    0.000000    0.000275    0.000000
   1960.40   -0.151591    0.010800    0.224495    0.010538  -1.1878898   0.0012557    0.075258    0.000000    0.000418    0.000000
   1960.45   -0.143919    0.009245    0.265361    0.009406  -1.2051424   0.0011437    0.073323    0.000000    0.000998    0.000000
   1960.50   -0.126154    0.010018    0.317166    0.009810  -1.2175774   0.0011856    0.071301    0.000000    0.001037    0.000000
   1960.55   -0.092060    0.010783    0.339619    0.009679  -1.2287585   0.0013918    0.066726    0.000000    0.000918    0.000000
   1960.60   -0.033480    0.009682    0.348746    0.009985  -1.2293886   0.0014447    0.064506    0.000000    0.001224    0.000000
   1960.65   -0.012953    0.009825    0.368371    0.010152  -1.2446761   0.0012030    0.063209    0.000000    0.001267    0.000000
   1960.70    0.030394    0.011034    0.376586    0.010341  -1.2596275   0.0013139    0.062433    0.000000    0.001311    0.000000
   1960.75    0.053617    0.010359    0.374060    0.009282  -1.2781377   0.0010731    0.063138    0.000000    0.001743    0.000000
   1960.80    0.063118    0.011652    0.351443    0.009732  -1.3009987   0.0011031    0.065313    0.000000    0.002944    0.000000
   1960.85    0.053907    0.012701    0.373108    0.010346  -1.3267882   0.0011638    0.066470    0.000000    0.003428    0.000000
   1960.90    0.065975    0.013254    0.319305    0.010393  -1.3532440   0.0011710    0.067724    0.000000    0.004555    0.000000
   1960.95    0.096074    0.016527    0.293875    0.011765  -1.3819983   0.0014835    0.069390    0.000000    0.004889    0.000000
   1961.00    0.068866    0.015171    0.303804    0.012276  -1.4063614   0.0014472    0.069282    0.000000    0.005269    0.000000
   1961.05    0.092010    0.016383    0.215080    0.013866  -1.4247847   0.0015207    0.069278    0.000000    0.005397    0.000000
   1961.10    0.052541    0.013420    0.229596    0.011865  -1.4475341   0.0012665    0.069835    0.000000    0.004663    0.000000
   1961.15    0.068949    0.009242    0.153197    0.009640  -1.4643863   0.0009823    0.069033    0.000000    0.003533    0.000000
   1961.20    0.033096    0.009509    0.173897    0.010134  -1.4966976   0.0010367    0.069886    0.000000    0.002823    0.000000
   1961.25    0.048105    0.010938    0.167188    0.011003  -1.5291415   0.0012022    0.071090    0.000000    0.002231    0.000000
   1961.30    0.024178    0.011612    0.161206    0.010969  -1.5476808   0.0011953    0.071003    0.000000    0.001253    0.000000
   1961.35   -0.002459    0.010683    0.173304    0.010667  -1.5715815   0.0011622    0.070975    0.000000    0.001207    0.000000
   1961.40    0.003315    0.010444    0.173138    0.010197  -1.5982426   0.0011443    0.069724    0.000000    0.001240    0.000000
   1961.45    0.008890    0.009832    0.174203    0.010391  -1.6143428   0.0011374    0.067504    0.000000    0.001312    0.000000
   1961.50    0.012479    0.011070    0.158155    0.010493  -1.6238363   0.0011519    0.064705    0.000000    0.002190    0.000000
   1961.55    0.030162    0.012491    0.182143    0.010726  -1.6306092   0.0011575    0.062408    0.000000    0.001636    0.000000
   1961.60    0.009208    0.012197    0.210906    0.011073  -1.6405323   0.0012124    0.058992    0.000000    0.001367    0.000000
   1961.65    0.012918    0.011351    0.184990    0.010765  -1.6590348   0.0011987    0.057822    0.000000    0.001896    0.000000
   1961.70   -0.015260    0.010232    0.206720    0.009488  -1.6755296   0.0010134    0.057948    0.000000    0.002255    0.000000
   1961.75   -0.016343    0.010974    0.216501    0.010165  -1.6913412   0.0011488    0.058114    0.000000    0.002067    0.000000
   1961.80   -0.036903    0.011734    0.216633    0.010958  -1.7121916   0.0012979    0.059934    0.000000    0.003327    0.000000
   1961.85   -0.051910    0.012706    0.248986    0.011403  -1.7350113   0.0011368    0.062142    0.000000    0.004787    0.000000
   1961.90   -0.062884    0.012515    0.288382    0.010631  -1.7621833   0.0011700    0.062880    0.000008    0.005050    0.000003
   1961.95   -0.050390    0.012727    0.270670    0.012419  -1.7844530   0.0012446    0.064069    0.000085    0.006218    0.000034
   1962.00   -0.018276    0.004515    0.225771    0.004183  -1.8130299   0.0001085    0.064324    0.002496    0.006033    0.000993
   1962.05   -0.053839    0.000844    0.228207    0.000870  -1.8383686   0.0001000    0.064364    0.002514    0.005960    0.001000
   1962.10   -0.060133    0.001004    0.238634    0.001001  -1.8584617   0.0001000    0.064776    0.002514    0.005411    0.001000
   1962.15   -0.037164    0.001002    0.251852    0.001002  -1.8839907   0.0001000    0.064847    0.002514    0.004540    0.001000
   1962.20    0.002396    0.001000    0.260877    0.001000  -1.9105599   0.0001000    0.065245    0.002514    0.003009    0.001000
   1962.25    0.042475    0.001000    0.250373    0.001000  -1.9389541   0.0001000    0.066391    0.002514    0.002598    0.001000
   1962.30    0.074019    0.001000    0.229117    0.001000  -1.9688798   0.0001000    0.066686    0.002514    0.002651    0.001000
   1962.35    0.091302    0.001000    0.210024    0.001000  -1.9992359   0.0001000    0.066529    0.002514    0.001697    0.001000
   1962.40    0.096735    0.001000    0.181084    0.001000  -2.0287713   0.0001000    0.065966    0.002514    0.002152    0.001000
   1962.45    0.098536    0.001000    0.142017    0.001000  -2.0469048   0.0001000    0.062852    0.002514    0.002527    0.001000
   1962.50    0.098375    0.001000    0.114016    0.001000  -2.0581567   0.0001000    0.060502    0.002514    0.002269    0.001000
   1962.55    0.090454    0.001000    0.097143    0.001000  -2.0707916   0.0001000    0.057491    0.002514    0.002921    0.001000
   1962.60    0.073870    0.001000    0.074435    0.001000  -2.0859601   0.0001000    0.055590    0.002514    0.002420    0.001000
   1962.65    0.048889    0.001000    0.050906    0.001000  -2.0991606   0.0001000    0.053161    0.002514    0.002159    0.001000
   1962.70    0.015077    0.001000    0.042841    0.001000  -2.1196901   0.0001000    0.053719    0.002514    0.002876    0.001000
   1962.75   -0.025027    0.001000    0.050149    0.001000  -2.1429701   0.0001000    0.054988    0.002514    0.003481    0.001000
   1962.80   -0.067874    0.001000    0.067356    0.001000  -2.1696485   0.0001000    0.055959    0.002514    0.003496    0.001000
   1962.85   -0.098504    0.001000    0.096996    0.001000  -2.2022881   0.0001000    0.058220    0.002514    0.005168    0.001000
   1962.90   -0.122396    0.001000    0.133364    0.001000  -2.2319054   0.0001000    0.059525    0.002514    0.006496    0.001000
   1962.95   -0.158748    0.001000    0.174988    0.001000  -2.2637007   0.0001000    0.060222    0.002514    0.006701    0.001000
   1963.00   -0.195431    0.001000    0.218487    0.001000  -2.2905024   0.0001000    0.061231    0.002514    0.007031    0.001000
   1963.05   -0.204118    0.001000    0.259918    0.001000  -2.3097573   0.0001000    0.060684    0.002514    0.006883    0.001000
   1963.10   -0.179994    0.001000    0.293757    0.001000  -2.3269598   0.0001000    0.061392    0.002514    0.006252    0.001000
   1963.15   -0.143193    0.001000    0.320728    0.001000  -2.3495117   0.0001000    0.062585    0.002514    0.005283    0.001000
   1963.20   -0.098939    0.001000    0.344135    0.001000  -2.3766352   0.0001000    0.062500    0.002514    0.004538    0.001000
   1963.25   -0.043198    0.001000    0.358185    0.001000  -2.4084883   0.0001000    0.063312    0.002514    0.003218    0.001000
   1963.30    0.021621    0.001000    0.352366    0.001000  -2.4422989   0.0001000    0.064469    0.002514    0.002783    0.001000
   1963.35    0.089439    0.001000    0.330914    0.001000  -2.4757388   0.0001000    0.063871    0.002514    0.003141    0.001000
   1963.40    0.147116    0.001000    0.303392    0.001000  -2.5050121   0.0001000    0.063525    0.002514    0.002490    0.001000
   1963.45    0.191183    0.001000    0.269113    0.001000  -2.5308683   0.0001000    0.061753    0.002514    0.003154    0.001000
   1963.50    0.220006    0.001000    0.226620    0.001000  -2.5517841   0.0001000    0.057667    0.002514    0.003524    0.001000
   1963.55    0.224031    0.001000    0.180344    0.001000  -2.5664838   0.0001000    0.055177    0.002514    0.003245    0.001000
   1963.60    0.200043    0.001000    0.130364    0.001000  -2.5833560   0.0001000    0.052594    0.002514    0.003441    0.001000
   1963.65    0.153509    0.001000    0.077994    0.001000  -2.6052210   0.0001000    0.051484    0.002514    0.003374    0.001000
   1963.70    0.100624    0.001000    0.029293    0.001000  -2.6309203   0.0001000    0.050448    0.002514    0.003499    0.001000
   1963.75    0.044255    0.001000   -0.007333    0.001000  -2.6621108   0.0001000    0.052434    0.002514    0.004369    0.001000
   1963.80   -0.025370    0.001000   -0.022842    0.001000  -2.6978109   0.0001000    0.053919    0.002514    0.004925    0.001000
   1963.85   -0.096790    0.001000   -0.011890    0.001000  -2.7407682   0.0001000    0.055504    0.002514    0.005851    0.001000
   1963.90   -0.146878    0.001000    0.014652    0.001000  -2.7777928   0.0001000    0.057013    0.002514    0.006819    0.001000
   1963.95   -0.181561    0.001000    0.044185    0.001000  -2.8122411   0.0001000    0.057527    0.002514    0.007828    0.001000
