#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1902.60    0.199944    0.019684    0.028316    0.019208   0.0002628   0.0000000    0.245298    0.000000    0.014710    0.000000
   1902.65    0.171404    0.019647   -0.005919    0.016474  -0.0000051   0.0000000    0.244078    0.000000    0.014803    0.000000
   1902.70    0.157321    0.018004   -0.046191    0.019216  -0.0000429   0.0000000    0.243503    0.000000    0.014733    0.000000
   1902.75    0.085574    0.021001   -0.091063    0.022641   0.0001098   0.0000000    0.244088    0.000000    0.015543    0.000000
   1902.80    0.034270    0.018242   -0.108954    0.016391   0.0000501   0.0000000    0.245612    0.000000    0.015760    0.000000
   1902.85   -0.023229    0.019348   -0.094463    0.020128  -0.0001858   0.0000000    0.248134    0.000000    0.016478    0.000000
   1902.90   -0.068750    0.023279   -0.091421    0.020613   0.0002394   0.0000000    0.248844    0.000000    0.017394    0.000000
   1902.95   -0.132470    0.023706   -0.035297    0.023618  -0.0000633   0.0000000    0.250200    0.000000    0.018154    0.000000
   1903.00   -0.185182    0.023738    0.006111    0.023274  -0.0001262   0.0000000    0.250340    0.000000    0.018100    0.000000
   1903.05   -0.222690    0.024858    0.044246    0.022844   0.0003034   0.0000000    0.249936    0.000000    0.018224    0.000000
   1903.10   -0.234172    0.019911    0.065795    0.021456  -0.0001965   0.0000000    0.249733    0.000000    0.017623    0.000000
   1903.15   -0.212129    0.022848    0.130018    0.023476  -0.0000484   0.0000000    0.250178    0.000000    0.016414    0.000000
   1903.20   -0.175222    0.023818    0.192066    0.022813   0.0001381   0.0000000    0.250687    0.000000    0.015273    0.000000
   1903.25   -0.171260    0.020150    0.183790    0.020688  -0.0000849   0.0000000    0.251303    0.000000    0.014422    0.000000
   1903.30   -0.138077    0.021349    0.226384    0.018852  -0.0000547   0.0000000    0.251880    0.000000    0.013748    0.000000
   1903.35   -0.049040    0.019374    0.282005    0.017305   0.0001659   0.0000000    0.251655    0.000000    0.013940    0.000000
   1903.40    0.001253    0.019149    0.249459    0.021023  -0.0000564   0.0000000    0.250114    0.000000    0.013573    0.000000
   1903.45    0.052826    0.018423    0.270788    0.019673  -0.0001273   0.0000000    0.248069    0.000000    0.013785    0.000000
   1903.50    0.081230    0.016134    0.254347    0.017305   0.0002651   0.0000000    0.244856    0.000000    0.014410    0.000000
   1903.55    0.148617    0.017930    0.236623    0.018796  -0.0001974   0.0000000    0.241534    0.000000    0.014467    0.000000
   1903.60    0.183190    0.015992    0.189006    0.018216  -0.0000926   0.0000000    0.239591    0.000000    0.014642    0.000000
   1903.65    0.219397    0.015079    0.103981    0.017656   0.0002383   0.0000000    0.237146    0.000000    0.014854    0.000000
   1903.70    0.213269    0.020311    0.081593    0.021653  -0.0001588   0.0000000    0.236906    0.000000    0.014642    0.000000
   1903.75    0.185051    0.018175   -0.009006    0.021927   0.0000161   0.0000000    0.238261    0.000000    0.014763    0.000000
   1903.80    0.148758    0.021924   -0.061857    0.017108   0.0002023   0.0000000    0.239356    0.000000    0.015993    0.000000
   1903.85    0.127473    0.024638   -0.108056    0.022899  -0.0001052   0.0000000    0.241287    0.000000    0.016540    0.000000
   1903.90    0.089361    0.027682   -0.098402    0.021110  -0.0001567   0.0000000    0.243467    0.000000    0.017307    0.000000
   1903.95    0.011780    0.029390   -0.093813    0.023484   0.0001230   0.0000000    0.243380    0.000000    0.018197    0.000000
   1904.00   -0.076476    0.029481   -0.075243    0.026065  -0.0001424   0.0000000    0.243821    0.000000    0.018652    0.000000
   1904.05   -0.134543    0.026091   -0.079093    0.023419  -0.0000682   0.0000000    0.244006    0.000000    0.018345    0.000000
   1904.10   -0.172276    0.024165   -0.026548    0.021362   0.0002833   0.0000000    0.243536    0.000000    0.018187    0.000000
   1904.15   -0.193063    0.031568    0.021541    0.032873  -0.0002426   0.0000000    0.243812    0.000000    0.016893    0.000000
   1904.20   -0.219872    0.022203    0.005784    0.028863   0.0000670   0.0000000    0.244539    0.000000    0.015876    0.000000
   1904.25   -0.202003    0.023386    0.077084    0.021583   0.0002182   0.0000000    0.244946    0.000000    0.014949    0.000000
   1904.30   -0.184657    0.032033    0.127901    0.024835  -0.0002483   0.0000000    0.245073    0.000000    0.014178    0.000000
   1904.35   -0.159072    0.019012    0.153435    0.021037   0.0000494   0.0000000    0.245155    0.000000    0.013770    0.000000
   1904.40   -0.120143    0.022956    0.233774    0.021691   0.0001579   0.0000000    0.244013    0.000000    0.014755    0.000000
   1904.45   -0.057854    0.016989    0.243982    0.017522  -0.0001151   0.0000000    0.241554    0.000000    0.014413    0.000000
   1904.50    0.000601    0.015367    0.249465    0.016865  -0.0000037   0.0000000    0.238924    0.000000    0.014654    0.000000
   1904.55    0.064133    0.017530    0.250020    0.019407   0.0002552   0.0000000    0.235455    0.000000    0.015007    0.000000
   1904.60    0.100732    0.013990    0.206087    0.016490  -0.0001892   0.0000000    0.232227    0.000000    0.015023    0.000000
   1904.65    0.123806    0.014819    0.177218    0.014584  -0.0000255   0.0000000    0.231629    0.000000    0.015068    0.000000
   1904.70    0.156442    0.016336    0.139154    0.016712   0.0001690   0.0000000    0.230214    0.000000    0.015713    0.000000
   1904.75    0.167472    0.020983    0.118623    0.021588  -0.0003370   0.0000000    0.231146    0.000000    0.015418    0.000000
   1904.80    0.155238    0.019597    0.071071    0.018006   0.0000975   0.0000000    0.233364    0.000000    0.015992    0.000000
   1904.85    0.148982    0.021608    0.033423    0.018518   0.0001080   0.0000000    0.234806    0.000000    0.017457    0.000000
   1904.90    0.107689    0.028157    0.024437    0.025411  -0.0001190   0.0000000    0.236326    0.000000    0.018073    0.000000
   1904.95    0.118837    0.026883   -0.006839    0.026251   0.0000920   0.0000000    0.237450    0.000000    0.018605    0.000000
   1905.00    0.064311    0.022409   -0.053606    0.025719   0.0001431   0.0000000    0.237418    0.000000    0.019336    0.000000
   1905.05    0.009210    0.024028   -0.103038    0.026649  -0.0001645   0.0000000    0.237127    0.000000    0.019297    0.000000
   1905.10   -0.031104    0.026434   -0.117586    0.022495  -0.0000642   0.0000000    0.237499    0.000000    0.018419    0.000000
   1905.15   -0.079969    0.027291   -0.055143    0.023470   0.0002165   0.0000000    0.237449    0.000000    0.017756    0.000000
   1905.20   -0.170964    0.022996   -0.070847    0.022131  -0.0003513   0.0000000    0.238337    0.000000    0.016580    0.000000
   1905.25   -0.180557    0.018228   -0.062161    0.018198   0.0000926   0.0000000    0.239113    0.000000    0.015690    0.000000
   1905.30   -0.171500    0.023248   -0.023537    0.023546   0.0001686   0.0000000    0.238978    0.000000    0.015184    0.000000
   1905.35   -0.196129    0.019234    0.044416    0.019682  -0.0001918   0.0000000    0.238697    0.000000    0.014534    0.000000
   1905.40   -0.159927    0.019622    0.077290    0.020548   0.0001802   0.0000000    0.237570    0.000000    0.014650    0.000000
   1905.45   -0.152914    0.020042    0.123660    0.021425   0.0000290   0.0000000    0.235537    0.000000    0.015675    0.000000
   1905.50   -0.110396    0.018162    0.156612    0.021275  -0.0001236   0.0000000    0.232664    0.000000    0.015305    0.000000
   1905.55   -0.056591    0.017763    0.176901    0.018955   0.0000755   0.0000000    0.230244    0.000000    0.015220    0.000000
   1905.60   -0.004122    0.018409    0.204724    0.019338   0.0001451   0.0000000    0.227508    0.000000    0.015461    0.000000
   1905.65    0.038176    0.017995    0.194050    0.018130  -0.0001033   0.0000000    0.225441    0.000000    0.015593    0.000000
   1905.70    0.075181    0.017600    0.177103    0.018674   0.0001258   0.0000000    0.225980    0.000000    0.015683    0.000000
   1905.75    0.089669    0.022715    0.174482    0.017057   0.0001605   0.0000000    0.226112    0.000000    0.016374    0.000000
   1905.80    0.108784    0.025741    0.144190    0.025091  -0.0003159   0.0000000    0.227904    0.000000    0.016432    0.000000
   1905.85    0.149529    0.023275    0.120665    0.020266   0.0002138   0.0000000    0.229854    0.000000    0.017517    0.000000
   1905.90    0.142702    0.024965    0.083097    0.020219  -0.0000360   0.0000000    0.231289    0.000000    0.018771    0.000000
   1905.95    0.133377    0.024032    0.061683    0.025314  -0.0001598   0.0000000    0.232440    0.000000    0.019292    0.000000
   1906.00    0.098775    0.023885    0.013574    0.019673   0.0001869   0.0000000    0.232629    0.000000    0.019690    0.000000
   1906.05    0.029937    0.021645   -0.031386    0.020364   0.0000181   0.0000000    0.232447    0.000000    0.019879    0.000000
   1906.10   -0.022532    0.024595   -0.051202    0.015702  -0.0000949   0.0000000    0.232373    0.000000    0.019158    0.000000
   1906.15   -0.048534    0.018032   -0.033042    0.019096   0.0000869   0.0000000    0.233052    0.000000    0.017882    0.000000
   1906.20   -0.083774    0.021684   -0.021560    0.021068   0.0000136   0.0000000    0.233205    0.000000    0.017010    0.000000
   1906.25   -0.100165    0.021430   -0.019589    0.019117  -0.0001691   0.0000000    0.234417    0.000000    0.016310    0.000000
   1906.30   -0.116476    0.016746   -0.026465    0.016035   0.0002208   0.0000000    0.234784    0.000000    0.015875    0.000000
   1906.35   -0.135228    0.020527    0.005511    0.018002  -0.0000099   0.0000000    0.233651    0.000000    0.015751    0.000000
   1906.40   -0.152478    0.015677    0.033481    0.016190  -0.0001921   0.0000000    0.233001    0.000000    0.015372    0.000000
   1906.45   -0.141174    0.014322    0.081086    0.015546   0.0002696   0.0000000    0.230788    0.000000    0.015951    0.000000
   1906.50   -0.120103    0.017464    0.105394    0.016696  -0.0001099   0.0000000    0.227622    0.000000    0.016511    0.000000
   1906.55   -0.106461    0.014679    0.115364    0.015367  -0.0000807   0.0000000    0.225339    0.000000    0.016086    0.000000
   1906.60   -0.096324    0.013217    0.130537    0.016961   0.0001503   0.0000000    0.223354    0.000000    0.016098    0.000000
   1906.65   -0.057890    0.014705    0.114887    0.015208   0.0000185   0.0000000    0.221567    0.000000    0.016356    0.000000
   1906.70   -0.034655    0.015438    0.135160    0.014283  -0.0001519   0.0000000    0.221377    0.000000    0.016397    0.000000
   1906.75   -0.030647    0.017759    0.140353    0.019037   0.0001320   0.0000000    0.222424    0.000000    0.017069    0.000000
   1906.80   -0.026702    0.017625    0.123348    0.016305  -0.0000529   0.0000000    0.224033    0.000000    0.017671    0.000000
   1906.85    0.029190    0.025984    0.189484    0.019897  -0.0002979   0.0000000    0.226124    0.000000    0.018312    0.000000
