#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1930.00   -0.144337    0.028792    0.090271    0.028404  -0.0000556   0.0000000    0.168182    0.000000    0.017597    0.000000
   1930.05   -0.150192    0.023009    0.145714    0.033557   0.0000493   0.0000000    0.168646    0.000000    0.017964    0.000000
   1930.10   -0.153267    0.027589    0.172950    0.025300  -0.0002744   0.0000000    0.168485    0.000000    0.017432    0.000000
   1930.15   -0.158185    0.024664    0.208179    0.022784   0.0002599   0.0000000    0.168739    0.000000    0.016110    0.000000
   1930.20   -0.124211    0.024118    0.236548    0.020216   0.0001002   0.0000000    0.170202    0.000000    0.015549    0.000000
   1930.25   -0.101201    0.021840    0.289512    0.021916  -0.0000292   0.0000000    0.169957    0.000000    0.014707    0.000000
   1930.30   -0.064615    0.022938    0.265357    0.024940   0.0000085   0.0000000    0.170894    0.000000    0.013852    0.000000
   1930.35   -0.039463    0.025307    0.272238    0.028647   0.0000628   0.0000000    0.171443    0.000000    0.013551    0.000000
   1930.40    0.034403    0.022723    0.307738    0.021986  -0.0000148   0.0000000    0.168902    0.000000    0.013819    0.000000
   1930.45    0.049937    0.019212    0.273251    0.024197  -0.0000381   0.0000000    0.167724    0.000000    0.013229    0.000000
   1930.50    0.120219    0.019044    0.243336    0.020843   0.0001790   0.0000000    0.164961    0.000000    0.013729    0.000000
   1930.55    0.155051    0.020416    0.223304    0.021116  -0.0002015   0.0000000    0.161338    0.000000    0.013602    0.000000
   1930.60    0.136629    0.017473    0.168250    0.021928   0.0001261   0.0000000    0.159850    0.000000    0.013170    0.000000
   1930.65    0.173398    0.018307    0.146335    0.025334   0.0001609   0.0000000    0.158634    0.000000    0.013860    0.000000
   1930.70    0.147249    0.019981    0.069970    0.026204  -0.0002485   0.0000000    0.158462    0.000000    0.013869    0.000000
   1930.75    0.118877    0.016308    0.064036    0.019503   0.0000664   0.0000000    0.159420    0.000000    0.014409    0.000000
   1930.80    0.057409    0.021261    0.056983    0.018423  -0.0000625   0.0000000    0.161747    0.000000    0.015705    0.000000
   1930.85    0.013130    0.032023    0.060276    0.036291  -0.0001077   0.0000000    0.162841    0.000000    0.015941    0.000000
   1930.90   -0.019952    0.024827    0.082407    0.027627   0.0000551   0.0000000    0.165644    0.000000    0.016475    0.000000
   1930.95   -0.121548    0.027827    0.054859    0.023678   0.0000711   0.0000000    0.167135    0.000000    0.017314    0.000000
   1931.00   -0.257417    0.051674    0.077647    0.026040   0.0001022   0.0000000    0.166501    0.000000    0.017707    0.000000
   1931.05   -0.218965    0.036494    0.114662    0.025816   0.0001458   0.0000000    0.167736    0.000000    0.017150    0.000000
